online_order,book_table,votes,location,rest_type,cost
0,0,80,3,20,650
1,0,170,3,20,600
0,0,66,3,20,800
0,0,162,3,20,500
1,1,90,3,20,800
0,0,90,3,20,750
0,0,96,3,20,500
1,0,116,3,20,400
1,0,132,3,12,250
1,0,55,3,62,300
1,0,114,3,20,1000
0,0,291,3,20,250
1,1,257,3,20,800
1,0,398,3,62,400
0,0,177,3,62,400
1,0,256,3,62,500
1,0,78,3,62,400
1,0,312,3,62,400
1,0,168,3,62,600
0,0,315,3,62,500
1,0,108,3,62,600
1,0,314,3,62,800
1,0,188,3,30,400
1,0,139,3,62,400
1,0,472,3,62,600
1,0,369,3,62,400
0,0,197,3,62,150
0,0,46,3,35,300
0,0,50,3,41,400
1,0,201,3,62,250
1,0,289,3,62,400
1,0,144,3,62,350
1,0,224,3,62,400
1,0,166,3,62,600
1,0,167,3,62,600
1,0,597,3,62,400
1,0,56,3,62,500
1,0,137,3,62,300
1,0,114,3,62,500
1,0,75,3,62,200
1,0,148,3,62,250
1,0,204,3,62,750
1,0,153,3,62,600
1,0,63,3,62,200
1,0,48,3,65,650
1,0,170,3,62,250
1,0,92,3,41,1100
1,0,102,3,62,350
0,0,56,3,62,400
0,0,85,3,62,250
0,0,58,3,62,250
1,0,51,3,62,300
1,0,212,3,62,400
1,0,182,3,41,600
1,0,158,3,62,300
1,0,323,3,41,800
1,0,175,3,62,250
0,0,2781,28,21,1200
0,1,3844,28,20,1600
0,0,353,28,20,1200
1,1,4312,28,52,1600
0,1,1196,28,5,1500
0,1,311,28,20,1300
0,1,1212,28,20,1200
0,1,1235,28,20,800
0,1,1763,28,4,1300
1,1,1538,28,20,1000
1,0,954,28,20,400
1,1,585,28,21,1200
1,0,374,28,20,750
1,1,1028,28,21,1100
1,1,448,28,20,700
0,1,1187,28,26,1200
1,0,180,28,20,550
1,1,1010,28,58,1300
1,0,230,28,20,1000
1,1,842,28,21,1100
1,1,1320,28,20,1200
1,1,790,28,20,1300
0,0,915,28,20,600
1,1,756,28,20,1000
1,0,34,28,20,750
1,1,347,28,20,1000
1,1,293,28,20,500
1,0,347,28,20,600
1,0,587,28,20,700
1,0,1306,28,20,750
0,1,466,28,20,700
0,0,129,28,62,300
1,0,217,28,20,500
0,0,115,28,62,350
0,0,59,28,20,400
0,0,535,28,20,950
0,0,228,28,62,400
1,0,178,28,20,450
1,1,727,28,13,800
1,0,243,28,20,450
0,0,521,28,13,550
0,0,51,28,20,600
1,1,4381,28,22,600
0,0,193,28,20,500
0,0,177,28,62,400
0,1,165,28,20,1000
0,0,97,28,21,1100
1,0,132,28,13,400
0,0,82,28,47,1000
1,0,407,28,20,500
1,0,46,28,13,450
0,0,177,28,20,950
1,0,146,28,20,600
1,0,320,28,20,600
0,0,48,28,13,550
0,0,175,28,20,450
1,0,64,28,20,750
0,0,65,28,20,750
0,0,55,28,20,800
0,0,48,28,20,800
1,0,57,28,20,650
1,0,127,28,13,700
1,0,321,28,62,400
1,0,92,28,62,300
0,0,115,28,62,200
1,0,386,28,62,600
1,0,212,28,62,350
0,0,231,28,30,800
1,0,62,28,62,300
1,1,612,0,21,1500
